participant,bin,electrode,P1,N1,EPN,LPP
vp02,localizer,Fpz,-0.10684,0.55636,-0.94,-0.62714
vp02,localizer,Fp2,-0.11265,0.55268,-0.80906,-0.3761
vp02,localizer,AF8,0.042916,1.0206,-1.1319,-0.89859
vp02,localizer,AF4,-0.18031,0.44742,-1.0029,-0.4662
vp02,localizer,Afz,-0.60713,-0.066266,-0.6942,-0.07649
vp02,localizer,Fz,-0.35011,1.0643,-1.7224,-1.0896
vp02,localizer,F2,-0.36398,0.64158,-1.6511,-1.1103
vp02,localizer,F4,-0.37204,0.62847,-1.6493,-1.1007
vp02,localizer,F6,-0.11337,0.56167,-1.1546,-0.46175
vp02,localizer,F8,-0.19253,0.29987,-0.85029,-0.19333
vp02,localizer,FT8,-0.07691,0.23136,-0.17603,0.49636
vp02,localizer,FC6,-0.10552,0.42728,-0.55468,0.24085
vp02,localizer,FC4,-0.12559,0.88439,-1.3261,-0.74003
vp02,localizer,FC2,-0.48404,0.87132,-2.0525,-1.388
vp02,localizer,FCz,-0.56285,1.0537,-2.2704,-1.5375
vp02,localizer,Cz,-0.75239,0.96166,-2.4255,-1.5532
vp02,localizer,C2,-0.51666,0.79135,-1.8399,-1.0985
vp02,localizer,C4,-0.2894,0.32603,-0.68005,-0.030116
vp02,localizer,C6,-0.066211,-0.035274,0.034774,0.66701
vp02,localizer,T8,0.044713,-0.021554,0.74878,1.1838
vp02,localizer,TP8,0.27695,-0.63824,1.4876,1.4001
vp02,localizer,CP6,0.059911,-0.78314,0.54901,0.77478
vp02,localizer,CP4,-0.07699,-0.59985,-0.052341,0.31076
vp02,localizer,CP2,-0.5137,-0.069177,-0.6691,-0.26455
vp02,localizer,P2,-0.17791,-0.78597,0.35845,-0.077825
vp02,localizer,P4,0.34038,-1.2526,1.0657,0.54583
vp02,localizer,P6,0.83109,-1.3094,2.2009,1.3988
vp02,localizer,P8,0.84127,-1.309,2.2549,1.4307
vp02,localizer,P10,0.86571,-1.2975,2.2805,1.4593
