participant,bin,electrode,P1,N1,EPN,LPP
vp19,NegMinNeut,C6,0.32133,0.17401,0.26983,0.048396
vp19,NegMinNeut,T8,-0.086987,-0.19549,-0.19695,-0.19311
vp19,NegMinNeut,TP8,0.062519,-0.32786,-0.25592,-0.17805
vp19,NegMinNeut,CP6,0.17146,-0.1323,-0.044805,-0.035176
vp19,NegMinNeut,CP4,-0.022377,-0.21768,-0.12198,-0.20405
vp19,NegMinNeut,CP2,-0.20041,-0.13084,-0.10626,-0.29155
vp19,NegMinNeut,P2,0.36225,0.27587,0.33453,0.10065
vp19,NegMinNeut,P4,0.08625,0.0056591,0.023115,-0.12835
vp19,NegMinNeut,P6,0.20637,-0.092402,-0.13265,-0.13856
vp19,NegMinNeut,P8,0.31926,-0.33187,-0.404,-0.23947
vp19,NegMinNeut,P10,0.090319,-0.58812,-0.61148,-0.28926
vp19,NegMinNeut,PO8,0.24336,-0.29799,-0.61462,-0.59406
vp19,NegMinNeut,PO4,0.29645,0.1418,-0.0067663,-0.12308
vp19,NegMinNeut,O2,0.40055,-0.041823,-0.39849,-0.2323
vp20,localizer,Fp1,-0.56539,0.37044,-1.4482,-1.9543
vp20,localizer,AF7,-0.35512,1.0815,-0.76611,-1.4156
vp20,localizer,AF3,-0.6001,0.37708,-1.8019,-2.3009
vp20,localizer,F1,-0.59622,0.095211,-2.0751,-2.4302
vp20,localizer,F3,-0.456,0.75179,-1.4919,-1.9366
vp20,localizer,F5,-0.34624,1.4038,-0.7277,-1.2628
vp20,localizer,F7,-0.028608,1.5703,0.030671,-0.50668
vp20,localizer,FT7,0.13758,1.188,0.35835,0.34909
vp20,localizer,FC5,-0.21459,1.4577,0.094653,0.0082934
vp20,localizer,FC3,-0.52374,1.0324,-0.80236,-0.95483
vp20,localizer,FC1,-0.6777,0.24975,-1.5422,-1.523
vp20,localizer,C1,-0.55868,0.50521,-0.67435,-0.408
vp20,localizer,C3,-0.28483,0.99183,0.015639,0.035517
vp20,localizer,C5,-0.17664,1.1226,0.60205,0.70849
vp20,localizer,T7,0.35329,0.59318,0.96268,1.0843
vp20,localizer,TP7,0.49088,0.29486,1.9088,1.7137
vp20,localizer,CP5,0.1867,0.56292,1.313,1.0878
vp20,localizer,CP3,-0.040867,0.58216,0.77891,0.62334
vp20,localizer,CP1,-0.21551,0.30812,0.012726,0.3108
vp20,localizer,P1,0.096619,0.064398,0.65267,0.59699
vp20,localizer,P3,0.32848,0.44219,1.3808,0.89562
vp20,localizer,P5,0.58207,0.46822,1.9592,1.2894
vp20,localizer,P7,0.85918,0.18618,2.5329,1.8557
vp20,localizer,P9,1.3629,-0.16565,2.5055,2.2892
vp20,localizer,PO7,1.3023,0.57102,2.3513,1.5234
vp20,localizer,PO3,0.66251,0.41872,1.8774,1.0963
vp20,localizer,O1,1.3896,0.87832,2.2221,1.4032
vp20,localizer,Iz,1.965,1.0362,0.84607,0.9101
vp20,localizer,Oz,1.3544,0.69702,2.0358,1.3109
vp20,localizer,POz,0.73025,0.12514,1.797,1.2211
vp20,localizer,Pz,0.19648,-0.29125,0.93375,1.0841
vp20,localizer,CPz,-0.37793,-0.071114,-0.52354,0.15082
vp20,localizer,Fpz,-0.57058,-0.32596,-1.8124,-2.0718
vp20,localizer,Fp2,-0.58557,-0.5104,-2.2799,-1.9735
vp20,localizer,AF8,-0.51991,-0.33568,-1.9621,-1.5348
vp20,localizer,AF4,-0.73651,-0.77193,-3.0303,-2.9416
vp20,localizer,Afz,-0.66746,-0.4571,-2.5038,-2.7943
vp20,localizer,Fz,-0.73767,-0.55924,-2.5465,-2.7481
vp20,localizer,F2,-0.82332,-1.0011,-2.8051,-2.7013
vp20,localizer,F4,-0.71014,-1.1047,-2.7499,-2.2814
vp20,localizer,F6,-0.49596,-0.78609,-1.9183,-1.2247
vp20,localizer,F8,-0.080255,-0.27219,-0.69546,-0.21856
vp20,localizer,FT8,-0.083094,-0.59596,-0.032896,0.57111
vp20,localizer,FC6,-0.496,-0.70037,-0.88602,-0.14053
vp20,localizer,FC4,-0.737,-0.9317,-1.7337,-1.0539
vp20,localizer,FC2,-0.79057,-0.75254,-2.2552,-1.8971
vp20,localizer,FCz,-0.83865,-0.45159,-2.2249,-2.0255
vp20,localizer,Cz,-0.6331,0.11837,-1.0749,-0.51573
vp20,localizer,C2,-0.62917,-0.28673,-0.98639,-0.29796
vp20,localizer,C4,-0.48272,-0.58443,-0.34211,0.47106
vp20,localizer,C6,-0.28996,-0.74314,0.24543,0.87136
vp20,localizer,T8,0.084649,-0.98137,0.70151,1.2493
vp20,localizer,TP8,0.17997,-1.2708,1.2611,1.4904
vp20,localizer,CP6,-0.03271,-1.0516,1.0699,1.3762
vp20,localizer,CP4,-0.28136,-0.64501,0.45595,1.1135
vp20,localizer,CP2,-0.31377,-0.24855,-0.15206,0.55543
vp20,localizer,P2,0.20287,-0.29881,0.96114,1.1145
vp20,localizer,P4,0.21513,-0.32803,0.96226,1.1173
vp20,localizer,P6,0.34619,-0.87241,1.5796,1.5362
vp20,localizer,P8,0.70049,-1.1656,1.6755,1.7537
vp20,localizer,P10,0.68053,-1.2036,1.6586,1.756
vp20,localizer,PO8,1.0096,-0.27831,2.1325,1.7006
vp20,localizer,PO4,0.73133,-0.10897,1.9068,1.466
vp20,localizer,O2,1.4048,0.60737,2.063,1.4229
vp20,NegMinNeut,Fp1,-0.21686,0.087374,0.32785,0.21343
vp20,NegMinNeut,AF7,-0.085891,-0.089008,0.096579,-0.070537
vp20,NegMinNeut,AF3,-0.12039,-0.20436,0.31157,0.028002
vp20,NegMinNeut,F1,0.063342,-0.42123,0.33546,0.051984
vp20,NegMinNeut,F3,0.10987,-0.36048,0.34298,0.032885
vp20,NegMinNeut,F5,0.25266,-0.095688,0.22853,-0.050807
vp20,NegMinNeut,F7,-0.25954,-0.37579,-0.11121,-0.31511
vp20,NegMinNeut,FT7,0.01094,-0.37082,-0.49354,-0.25457
vp20,NegMinNeut,FC5,0.15909,-0.31704,-0.21293,-0.3562
vp20,NegMinNeut,FC3,0.12556,-0.32319,0.21982,-0.019839
vp20,NegMinNeut,FC1,0.0011168,-0.34061,0.32522,0.033419
vp20,NegMinNeut,C1,0.14972,-0.087673,0.36497,0.11034
vp20,NegMinNeut,C3,0.11249,-0.22575,0.041402,-0.024521
vp20,NegMinNeut,C5,0.1402,-0.33015,-0.30696,-0.23727
vp20,NegMinNeut,T7,-0.006508,-0.29432,-0.56295,-0.10599
vp20,NegMinNeut,TP7,0.12872,-0.16017,-0.77055,-0.19796
vp20,NegMinNeut,CP5,0.19201,-0.017158,-0.35236,-0.093677
vp20,NegMinNeut,CP3,0.10083,-0.16371,-0.18612,-0.15823
vp20,NegMinNeut,CP1,0.023795,-0.10494,0.05586,-0.041949
vp20,NegMinNeut,P1,0.060734,0.14916,0.017766,0.064353
vp20,NegMinNeut,P3,0.056301,0.064822,-0.13016,-0.039597
vp20,NegMinNeut,P5,0.10756,0.11954,-0.2785,0.0067438
vp20,NegMinNeut,P7,0.22008,-0.01,-0.59911,-0.10802
vp20,NegMinNeut,P9,0.66659,0.4379,-0.87813,-0.16199
vp20,NegMinNeut,PO7,0.33961,0.28979,-0.46545,-0.069907
vp20,NegMinNeut,PO3,0.09911,0.27532,-0.054943,0.025237
vp20,NegMinNeut,O1,0.29861,0.40233,-0.35299,-0.15009
vp20,NegMinNeut,Iz,0.60397,0.58632,-0.67848,-0.28234
vp20,NegMinNeut,Oz,0.23063,0.39562,-0.26423,-0.14512
vp20,NegMinNeut,POz,0.0041441,0.31238,0.013485,0.0048828
vp20,NegMinNeut,Pz,-0.018958,0.24003,0.12529,0.018459
vp20,NegMinNeut,CPz,-0.031623,-0.10359,0.12457,-0.04485
vp20,NegMinNeut,Fpz,-0.37022,0.44753,0.55037,0.62545
vp20,NegMinNeut,Fp2,-0.3852,0.41518,0.91668,1.2227
vp20,NegMinNeut,AF8,-0.4305,0.092393,0.45915,0.81197
vp20,NegMinNeut,AF4,0.29788,0.21948,0.33255,0.19317
vp20,NegMinNeut,Afz,-0.28269,-0.36093,0.022514,-0.25779
vp20,NegMinNeut,Fz,-0.11344,-0.38876,0.32454,0.055093
vp20,NegMinNeut,F2,-0.060884,-0.11709,0.55251,0.30233
vp20,NegMinNeut,F4,-0.0091383,0.19609,0.55034,0.41593
vp20,NegMinNeut,F6,-0.21973,-0.03807,0.21843,0.14519
vp20,NegMinNeut,F8,-0.15203,0.034139,0.003795,0.13148
vp20,NegMinNeut,FT8,-0.12828,-0.2631,-0.47622,-0.31079
vp20,NegMinNeut,FC6,-0.12764,-0.13443,0.11998,0.12557
vp20,NegMinNeut,FC4,-0.11924,-0.28059,0.095634,-0.0019622
vp20,NegMinNeut,FC2,-0.1198,-0.30352,0.40401,0.19899
vp20,NegMinNeut,FCz,0.083738,-0.18526,0.52964,0.27176
vp20,NegMinNeut,Cz,-0.070397,-0.068531,0.53607,0.32205
vp20,NegMinNeut,C2,0.020356,-0.1324,0.31945,0.14204
vp20,NegMinNeut,C4,0.030109,-0.16538,0.091413,-0.094902
vp20,NegMinNeut,C6,-0.13948,-0.28152,-0.12399,-0.15814
vp20,NegMinNeut,T8,-0.39395,-0.24069,-0.44623,-0.2844
vp20,NegMinNeut,TP8,-0.38704,-0.18678,-0.28833,-0.28619
vp20,NegMinNeut,CP6,-0.14064,-0.14077,-0.13499,-0.13606
vp20,NegMinNeut,CP4,-0.10073,-0.084629,0.032456,-0.030429
vp20,NegMinNeut,CP2,0.025974,0.027972,0.19534,0.098877
vp20,NegMinNeut,P2,0.0064675,0.2104,0.13657,0.018572
vp20,NegMinNeut,P4,-0.081106,0.15361,0.069603,-0.020759
vp20,NegMinNeut,P6,-0.047064,0.37336,0.029185,-0.033351
vp20,NegMinNeut,P8,-0.15632,0.28308,-0.41284,-0.30783
vp20,NegMinNeut,P10,-0.21865,0.30152,-0.43673,-0.3505
vp20,NegMinNeut,PO8,0.03266,0.57405,-0.22589,-0.22252
vp20,NegMinNeut,PO4,0.00025009,0.45901,0.037108,-0.10328
vp20,NegMinNeut,O2,0.23882,0.61969,-0.21483,-0.14346
vp21,localizer,Fp1,-0.20751,-0.34572,-0.17789,-0.13285
vp21,localizer,AF7,-0.26977,-0.33623,-0.15286,-0.13646
vp21,localizer,AF3,-0.26151,-0.42115,-0.28274,-0.20321
vp21,localizer,F1,-0.22956,-0.44656,-0.41341,-0.25515
vp21,localizer,F3,-0.28127,-0.36429,-0.28872,-0.26339
vp21,localizer,F5,-0.29842,-0.38573,-0.20471,-0.1251
vp21,localizer,F7,-0.37202,-0.26201,-0.19948,-0.12662
vp21,localizer,FT7,-0.32615,-0.16889,-0.10766,-0.027581
vp21,localizer,FC5,-0.32359,-0.25138,-0.21246,-0.1202
vp21,localizer,FC3,-0.31643,-0.34533,-0.23887,-0.15827
vp21,localizer,FC1,-0.1631,-0.32977,-0.20304,-0.10394
vp21,localizer,C1,-0.070191,-0.15646,-0.062526,-0.035245
vp21,localizer,C3,-0.25172,-0.22328,-0.13844,-0.069316
vp21,localizer,C5,-0.27235,-0.10249,-0.11456,-0.03781
vp21,localizer,T7,-0.23961,0.02268,-0.081819,0.022113
vp21,localizer,TP7,-0.18296,0.093568,0.0035175,-0.038677
vp21,localizer,CP5,-0.2443,0.046356,0.028862,-0.0042811
vp21,localizer,CP3,-0.21867,-0.019283,8.6536e-05,-0.029863
vp21,localizer,CP1,-0.08205,-0.099062,-0.0031334,-0.043387
vp21,localizer,P1,-0.057349,0.12657,0.11071,-0.036239
vp21,localizer,P3,-0.037866,0.28685,0.15736,0.09116
vp21,localizer,P5,0.012432,0.29044,0.073722,0.0058336
vp21,localizer,P7,0.03522,0.42243,0.088983,0.0019503
vp21,localizer,P9,0.047905,0.15182,-0.14478,-0.131
vp21,localizer,PO7,0.073389,0.31748,-0.06492,-0.10306
vp21,localizer,PO3,0.10607,0.33319,0.18894,0.014652
vp21,localizer,O1,0.053801,0.27151,0.024038,-0.052308
vp21,localizer,Iz,0.31847,0.29164,-0.039305,-0.10204
vp21,localizer,Oz,0.24331,0.35143,0.14612,0.031272
vp21,localizer,POz,0.21154,0.38872,0.32919,0.10851
vp21,localizer,Pz,0.02781,0.1332,0.097012,-0.040308
vp21,localizer,CPz,-0.029017,-0.010509,0.069436,0.006493
vp21,localizer,Fpz,-0.088238,-0.3003,-0.14557,-0.058935
vp21,localizer,Fp2,0.12118,-0.16128,-0.0078726,0.081561
vp21,localizer,AF8,0.26125,-0.043634,0.21262,0.20412
vp21,localizer,AF4,-0.060501,-0.31398,-0.21235,-0.044687
vp21,localizer,Afz,-0.16593,-0.36015,-0.34793,-0.20692
vp21,localizer,Fz,-0.055811,-0.23443,-0.2455,-0.17853
vp21,localizer,F2,-0.049958,-0.34784,-0.31469,-0.10994
vp21,localizer,F4,-0.022891,-0.39305,-0.2802,-0.10632
vp21,localizer,F6,0.013954,-0.1554,-0.12687,-0.01363
vp21,localizer,F8,0.23177,0.17223,0.19543,0.30375
vp21,localizer,FT8,0.089116,0.014885,0.083321,0.14246
vp21,localizer,FC6,0.12364,-0.054028,0.013558,0.15416
vp21,localizer,FC4,0.02404,-0.28761,-0.15138,-0.019532
vp21,localizer,FC2,-0.01438,-0.29546,-0.26263,-0.089441
vp21,localizer,FCz,-0.069689,-0.32149,-0.30534,-0.15909
vp21,localizer,Cz,-0.072973,-0.2503,-0.10501,-0.019511
vp21,localizer,C2,-0.0047882,-0.25483,-0.15155,-0.043457
vp21,localizer,C4,0.058504,-0.16756,0.01128,0.097962
vp21,localizer,C6,0.10476,0.052043,0.12988,0.19261
vp21,localizer,T8,0.21258,0.28251,0.20392,0.2267
vp21,localizer,TP8,0.25786,0.45917,0.35486,0.2457
vp21,localizer,CP6,0.11459,0.14377,0.17538,0.12495
vp21,localizer,CP4,0.075223,0.033399,0.17022,0.10314
vp21,localizer,CP2,0.083294,-0.081507,0.044623,0.052115
vp21,localizer,P2,0.066126,0.11991,0.20483,0.071712
vp21,localizer,P4,0.18793,0.30805,0.33585,0.18532
vp21,localizer,P6,0.24816,0.33937,0.35483,0.1597
vp21,localizer,P8,0.43205,0.59342,0.47204,0.241
vp21,localizer,P10,0.30935,0.61374,0.26943,0.076939
vp21,localizer,PO8,0.39716,0.55634,0.49325,0.18191
vp21,localizer,PO4,0.37549,0.55564,0.43483,0.21058
vp21,localizer,O2,0.42257,0.51862,0.31007,0.087908
vp21,NegMinNeut,Fp1,-0.07399,0.058349,0.197,0.024819
vp21,NegMinNeut,AF7,-0.095908,-0.029504,0.16115,-0.020348
vp21,NegMinNeut,AF3,-0.15678,0.047673,0.15317,-0.028747
vp21,NegMinNeut,F1,-0.20669,0.12305,0.0041227,-0.087674
vp21,NegMinNeut,F3,-0.096344,0.10032,0.18707,0.088935
vp21,NegMinNeut,F5,-0.18875,-0.059112,0.053429,-0.025062
vp21,NegMinNeut,F7,-0.093625,0.0070644,0.01151,-0.0788
vp21,NegMinNeut,FT7,-0.23974,-0.078074,0.08203,-0.0049156
vp21,NegMinNeut,FC5,-0.19288,-0.088623,0.043195,-0.018845
vp21,NegMinNeut,FC3,-0.07161,0.23554,0.13847,0.097196
vp21,NegMinNeut,FC1,-0.21752,0.0075152,-0.084986,-0.11817
vp21,NegMinNeut,C1,-0.32334,-0.12621,-0.079236,-0.15419
vp21,NegMinNeut,C3,-0.16677,0.0035784,-0.017612,-0.026003
vp21,NegMinNeut,C5,-0.17146,0.035834,0.047171,0.023108
vp21,NegMinNeut,T7,-0.14165,-0.25962,-0.072458,-0.1476
vp21,NegMinNeut,TP7,-0.021586,-0.1804,0.0051078,-0.037294
vp21,NegMinNeut,CP5,0.031605,0.027446,0.033197,0.041925
vp21,NegMinNeut,CP3,-0.26825,-0.11196,-0.082371,-0.072414
vp21,NegMinNeut,CP1,-0.13543,0.037312,-0.031347,0.07562
vp21,NegMinNeut,P1,-0.11187,0.027847,-0.11657,0.0026858
vp21,NegMinNeut,P3,-0.11322,-0.023932,-0.088704,0.0020942
vp21,NegMinNeut,P5,-0.08578,-0.11645,-0.20601,-0.095129
vp21,NegMinNeut,P7,-0.039383,-0.11263,0.0058844,-0.048871
vp21,NegMinNeut,P9,0.5928,-0.30431,-0.053163,-0.050824
vp21,NegMinNeut,PO7,0.2204,0.010774,0.058305,-0.012315
vp21,NegMinNeut,PO3,-0.073984,-0.20673,-0.18186,-0.024712
vp21,NegMinNeut,O1,0.22408,-0.075185,-0.19879,-0.14767
vp21,NegMinNeut,Iz,0.31669,-0.38647,-0.28749,-0.11812
vp21,NegMinNeut,Oz,0.19319,-0.14163,-0.14014,-0.027423
vp21,NegMinNeut,POz,-0.023993,-0.0068721,-0.17731,-0.033926
vp21,NegMinNeut,Pz,-0.10768,-0.014526,-0.20294,-0.03094
vp21,NegMinNeut,CPz,0.098163,0.15369,-0.090904,0.017368
vp21,NegMinNeut,Fpz,-0.00065787,0.049111,0.17183,-0.045332
vp21,NegMinNeut,Fp2,0.20592,-0.065052,0.12099,-0.1433
vp21,NegMinNeut,AF8,0.18253,-0.17755,-0.10873,-0.42456
vp21,NegMinNeut,AF4,0.14211,0.2364,0.083986,-0.12083
vp21,NegMinNeut,Afz,-0.04801,0.062923,0.19613,0.0047477
vp21,NegMinNeut,Fz,-0.33254,0.21512,0.14138,-0.082068
vp21,NegMinNeut,F2,-0.0097918,0.1585,0.1405,0.048898
vp21,NegMinNeut,F4,0.23715,0.1611,0.12861,0.081942
vp21,NegMinNeut,F6,0.35901,-0.12503,0.082104,0.072013
vp21,NegMinNeut,F8,0.20969,-0.020558,0.08834,-0.014484
vp21,NegMinNeut,FT8,0.20228,0.10303,0.23772,0.2386
vp21,NegMinNeut,FC6,0.090131,0.029869,0.16842,0.10325
vp21,NegMinNeut,FC4,-0.057809,-0.006899,-0.0049621,0.020739
vp21,NegMinNeut,FC2,-0.11584,0.040119,-0.11991,-0.034528
vp21,NegMinNeut,FCz,-0.097898,0.072397,-0.028665,-0.028575
vp21,NegMinNeut,Cz,-0.10355,0.09474,-0.038901,-0.0583
vp21,NegMinNeut,C2,-0.059557,0.044076,-0.14797,-0.042133
vp21,NegMinNeut,C4,0.068325,0.086098,0.074774,0.17336
vp21,NegMinNeut,C6,0.028029,0.0258,0.095821,0.14989
vp21,NegMinNeut,T8,-0.064376,-0.047238,0.029014,0.052377
vp21,NegMinNeut,TP8,0.010514,0.24924,0.2486,0.30649
vp21,NegMinNeut,CP6,0.037491,0.062785,0.083788,0.13778
vp21,NegMinNeut,CP4,0.14385,0.17258,-0.035913,0.15395
vp21,NegMinNeut,CP2,0.086381,0.085819,-0.090994,0.040866
vp21,NegMinNeut,P2,-0.052772,0.014149,-0.12632,-0.056823
vp21,NegMinNeut,P4,0.040407,0.078933,-0.00068955,0.11083
vp21,NegMinNeut,P6,0.069376,-0.10671,0.02005,0.080036
vp21,NegMinNeut,P8,0.058386,0.10535,0.085043,0.30952
vp21,NegMinNeut,P10,0.3889,-0.14017,-0.11068,0.094312
vp21,NegMinNeut,PO8,-0.017076,-0.082341,-0.11231,-0.075653
vp21,NegMinNeut,PO4,0.04524,0.10727,-0.1567,0.0034229
vp21,NegMinNeut,O2,0.095459,-0.037617,-0.1833,-0.02019
vp22,localizer,Fp1,0.081904,-1.9,-3.5858,-2.8814
vp22,localizer,AF7,0.29064,-1.6473,-3.023,-2.6011
vp22,localizer,AF3,0.0045374,-2.0408,-3.8244,-2.7632
vp22,localizer,F1,-0.036431,-1.886,-3.1607,-2.0923
vp22,localizer,F3,-0.075103,-1.7401,-3.3032,-2.2509
vp22,localizer,F5,-0.12295,-1.7546,-2.9214,-2.2422
vp22,localizer,F7,0.25426,-1.2194,-1.5543,-1.8579
vp22,localizer,FT7,-0.16275,-1.0721,-0.80691,-0.88823
vp22,localizer,FC5,-0.10531,-0.82743,-1.0682,-0.78768
vp22,localizer,FC3,-0.063,-0.77997,-1.6407,-0.91168
vp22,localizer,FC1,-0.090924,-0.98998,-1.7471,-0.82974
vp22,localizer,C1,-0.35219,-0.17684,-0.17174,0.36858
vp22,localizer,C3,-0.26658,-0.0078917,0.0088839,0.31506
vp22,localizer,C5,-0.23104,-0.014141,0.17022,0.27494
vp22,localizer,T7,-0.019453,-0.22002,0.014441,-0.2241
vp22,localizer,TP7,-0.092853,0.67102,1.3668,0.58521
vp22,localizer,CP5,-0.060246,0.89225,1.3528,0.67933
vp22,localizer,CP3,-0.32231,0.79959,1.3612,0.90352
vp22,localizer,CP1,-0.48368,0.64372,1.2728,0.999
vp22,localizer,P1,-0.46751,2.0317,2.8756,1.8328
vp22,localizer,P3,-0.20273,1.7979,2.4442,1.3242
vp22,localizer,P5,-0.060359,2.0076,2.4174,1.1095
vp22,localizer,P7,0.28387,2.4231,2.81,1.4321
vp22,localizer,P9,0.2652,1.5813,2.0446,0.8388
vp22,localizer,PO7,0.72905,4.0072,3.7324,1.7342
vp22,localizer,PO3,-0.38404,2.6953,3.1264,1.8471
vp22,localizer,O1,-0.01298,3.9409,2.7536,1.4826
vp22,localizer,Iz,0.18974,2.0266,1.3097,0.76215
vp22,localizer,Oz,-0.73166,3.345,2.4766,1.5438
vp22,localizer,POz,-0.6505,2.6869,3.1495,2.0608
vp22,localizer,Pz,-0.44123,1.8693,2.5579,1.8258
vp22,localizer,CPz,-0.41991,0.46779,1.1433,0.98703
vp22,localizer,Fpz,0.046744,-2.3599,-4.0575,-3.0068
vp22,localizer,Fp2,-0.22699,-2.3819,-3.94,-2.4164
vp22,localizer,AF8,-0.30865,-2.3662,-3.4039,-1.7175
vp22,localizer,AF4,-0.11837,-2.6376,-4.0767,-2.6912
vp22,localizer,Afz,-0.023177,-2.4063,-3.9728,-2.734
vp22,localizer,Fz,0.00073096,-2.1094,-3.2751,-2.2048
vp22,localizer,F2,0.037948,-2.1853,-3.6912,-2.5128
vp22,localizer,F4,0.076536,-2.1951,-3.7508,-2.4668
vp22,localizer,F6,0.051883,-2.1457,-3.1036,-1.8709
vp22,localizer,F8,-0.29504,-2.2622,-2.1345,-0.862
vp22,localizer,FT8,-0.18572,-2.3649,-1.3568,-0.39322
vp22,localizer,FC6,-0.066281,-1.8815,-1.6391,-0.69767
vp22,localizer,FC4,-0.00073174,-1.2142,-2.0801,-1.0952
vp22,localizer,FC2,0.25838,-0.84707,-2.1088,-1.002
vp22,localizer,FCz,-0.036055,-1.05,-1.7039,-0.78401
vp22,localizer,Cz,-0.49478,-0.3425,-0.22187,0.24289
vp22,localizer,C2,-0.26155,-0.32617,-0.59447,0.18817
vp22,localizer,C4,-0.0085588,-0.21262,0.049551,0.43946
vp22,localizer,C6,0.17629,-1.1125,0.006121,0.50473
vp22,localizer,T8,-0.0085656,-2.069,-0.22515,0.34539
vp22,localizer,TP8,0.52959,-0.68359,1.9445,1.5484
vp22,localizer,CP6,0.30729,-0.15292,1.2803,1.1639
vp22,localizer,CP4,0.077402,0.64341,1.7676,1.4069
vp22,localizer,CP2,0.48612,1.0256,1.3104,1.428
vp22,localizer,P2,-0.16168,1.8242,2.5342,1.8433
vp22,localizer,P4,0.016194,1.5906,2.6871,1.7338
vp22,localizer,P6,0.43202,1.2925,2.8015,1.7692
vp22,localizer,P8,0.9238,1.0897,3.9671,2.5152
vp22,localizer,P10,1.4874,0.72646,4.9919,3.3184
vp22,localizer,PO8,1.1573,3.4386,4.2559,2.1327
vp22,localizer,PO4,-0.11555,2.524,3.2403,1.8999
vp22,localizer,O2,0.0026166,3.5408,2.9192,1.3991
vp22,NegMinNeut,Fp1,-0.010415,-0.024254,0.26092,0.21031
vp22,NegMinNeut,AF7,-0.1855,-0.25896,-0.0021154,-0.11264
vp22,NegMinNeut,AF3,-0.11465,-0.11541,0.018945,0.12788
vp22,NegMinNeut,F1,-0.090154,-0.022802,0.035923,0.30612
vp22,NegMinNeut,F3,-0.45696,-0.46569,-0.45769,-0.29194
vp22,NegMinNeut,F5,-0.31657,-0.18433,-0.20765,0.047331
vp22,NegMinNeut,F7,-0.53816,-0.41693,0.10626,-0.00097246
vp22,NegMinNeut,FT7,0.043174,-0.022692,-0.16018,-0.18675
vp22,NegMinNeut,FC5,-0.2035,-0.22741,-0.17048,-0.10511
vp22,NegMinNeut,FC3,-0.12249,-0.35924,-0.25847,0.034096
vp22,NegMinNeut,FC1,-0.14593,-0.16177,-0.070796,0.046688
vp22,NegMinNeut,C1,0.16012,-0.090327,0.062656,0.022062
vp22,NegMinNeut,C3,0.31824,0.041199,0.06054,0.25171
vp22,NegMinNeut,C5,0.15688,0.1262,0.075317,0.19392
vp22,NegMinNeut,T7,0.33302,0.32774,-0.13999,-0.03758
vp22,NegMinNeut,TP7,0.43394,0.54418,0.074262,0.04728
vp22,NegMinNeut,CP5,0.40598,0.34326,0.039703,0.22589
vp22,NegMinNeut,CP3,0.41771,0.25353,0.12517,0.23459
vp22,NegMinNeut,CP1,0.29247,0.13557,0.087257,-0.016128
vp22,NegMinNeut,P1,0.33271,0.1165,-0.046187,-0.25071
vp22,NegMinNeut,P3,0.30509,0.22454,-0.047558,-0.12879
vp22,NegMinNeut,P5,0.41635,0.34811,-0.049498,-0.032913
vp22,NegMinNeut,P7,0.38266,0.43717,-0.093345,-0.13221
vp22,NegMinNeut,P9,0.39954,0.35518,-0.30674,-0.33816
vp22,NegMinNeut,PO7,0.57569,0.20324,-0.00019237,-0.010303
vp22,NegMinNeut,PO3,0.29053,0.24246,-0.0062334,-0.25843
vp22,NegMinNeut,O1,0.14163,-0.1245,-0.18044,-0.59702
vp22,NegMinNeut,Iz,0.14471,-0.020469,-0.24833,-0.57509
vp22,NegMinNeut,Oz,0.30887,0.075607,0.0077102,-0.35561
vp22,NegMinNeut,POz,0.3854,0.10808,0.047875,-0.27236
vp22,NegMinNeut,Pz,0.35621,0.2034,0.19267,0.21751
vp22,NegMinNeut,CPz,-0.0070578,-0.066455,0.097845,0.075596
vp22,NegMinNeut,Fpz,0.19395,0.33404,0.51338,0.41949
vp22,NegMinNeut,Fp2,-0.046163,0.15421,0.25265,0.22201
vp22,NegMinNeut,AF8,-0.42411,-0.24277,-0.0778,-0.21045
vp22,NegMinNeut,AF4,-0.010472,0.32695,0.2753,0.32095
vp22,NegMinNeut,Afz,-0.024499,0.098339,0.18458,0.25479
vp22,NegMinNeut,Fz,-0.20494,-0.18532,-0.14338,0.038739
vp22,NegMinNeut,F2,-0.20681,-0.083289,-0.044693,0.16687
vp22,NegMinNeut,F4,-0.22666,-0.19201,-0.1819,0.020077
vp22,NegMinNeut,F6,-0.11261,-0.30164,-0.046829,-0.31306
vp22,NegMinNeut,F8,-1.0758,-0.86638,-0.34407,-0.66168
vp22,NegMinNeut,FT8,-0.51905,-0.095142,-0.23025,-0.52023
vp22,NegMinNeut,FC6,-0.51379,-0.42902,0.057086,-0.1074
vp22,NegMinNeut,FC4,-0.05582,-0.15477,0.024239,0.24672
vp22,NegMinNeut,FC2,0.42009,0.17832,0.28006,1.2676
vp22,NegMinNeut,FCz,-0.28452,-0.39976,-0.048779,0.011177
vp22,NegMinNeut,Cz,0.26207,-0.049937,0.11789,0.15522
vp22,NegMinNeut,C2,-0.33472,-0.52397,-0.71416,-0.62909
vp22,NegMinNeut,C4,-0.2357,-0.1507,-0.080687,-0.16399
vp22,NegMinNeut,C6,-0.30146,-0.20502,-0.02238,-0.016906
vp22,NegMinNeut,T8,-0.77053,-0.30328,-0.34849,-0.62214
vp22,NegMinNeut,TP8,-0.58358,-0.17877,-0.28247,-0.29539
vp22,NegMinNeut,CP6,-0.29505,-0.27781,-0.039456,-0.083738
vp22,NegMinNeut,CP4,-0.023193,0.04358,0.20774,0.18572
vp22,NegMinNeut,CP2,1.0198,1.0621,0.93468,2.1039
