       value	     chindex	     chlabel	        bini	           binlabel	ERPset
       0.641	          65	 P1_massUniv	           4	negativeSmallBright	vp29
       1.747	          65	 P1_massUniv	           5	   neutralLargeDark	vp29
       2.187	          65	 P1_massUniv	           6	   neutralSmallDark	vp29
       2.055	          65	 P1_massUniv	           7	 neutralLargeBright	vp29
       0.406	          65	 P1_massUniv	           8	 neutralSmallBright	vp29
       4.912	          65	 P1_massUniv	           1	  negativeLargeDark	vp31
       2.899	          65	 P1_massUniv	           2	  negativeSmallDark	vp31
       5.635	          65	 P1_massUniv	           3	negativeLargeBright	vp31
       2.974	          65	 P1_massUniv	           4	negativeSmallBright	vp31
       5.660	          65	 P1_massUniv	           5	   neutralLargeDark	vp31
       2.658	          65	 P1_massUniv	           6	   neutralSmallDark	vp31
       4.005	          65	 P1_massUniv	           7	 neutralLargeBright	vp31
       2.081	          65	 P1_massUniv	           8	 neutralSmallBright	vp31
       0.091	          65	 P1_massUniv	           1	  negativeLargeDark	vp33
       0.755	          65	 P1_massUniv	           2	  negativeSmallDark	vp33
       0.291	          65	 P1_massUniv	           3	negativeLargeBright	vp33
       0.240	          65	 P1_massUniv	           4	negativeSmallBright	vp33
       0.496	          65	 P1_massUniv	           5	   neutralLargeDark	vp33
       0.464	          65	 P1_massUniv	           6	   neutralSmallDark	vp33
       0.808	          65	 P1_massUniv	           7	 neutralLargeBright	vp33
      -0.189	          65	 P1_massUniv	           8	 neutralSmallBright	vp33
       3.355	          65	 P1_massUniv	           1	  negativeLargeDark	vp34
       2.739	          65	 P1_massUniv	           2	  negativeSmallDark	vp34
       2.605	          65	 P1_massUniv	           3	negativeLargeBright	vp34
       1.615	          65	 P1_massUniv	           4	negativeSmallBright	vp34
       3.229	          65	 P1_massUniv	           5	   neutralLargeDark	vp34
       2.686	          65	 P1_massUniv	           6	   neutralSmallDark	vp34
       2.692	          65	 P1_massUniv	           7	 neutralLargeBright	vp34
       0.254	          65	 P1_massUniv	           8	 neutralSmallBright	vp34
       0.230	          65	 P1_massUniv	           1	  negativeLargeDark	vp35
       0.959	          65	 P1_massUniv	           2	  negativeSmallDark	vp35
       0.471	          65	 P1_massUniv	           3	negativeLargeBright	vp35
      -0.211	          65	 P1_massUniv	           4	negativeSmallBright	vp35
       0.790	          65	 P1_massUniv	           5	   neutralLargeDark	vp35
       0.924	          65	 P1_massUniv	           6	   neutralSmallDark	vp35
       0.621	          65	 P1_massUniv	           7	 neutralLargeBright	vp35
       0.841	          65	 P1_massUniv	           8	 neutralSmallBright	vp35
       3.914	          65	 P1_massUniv	           1	  negativeLargeDark	vp36
       2.795	          65	 P1_massUniv	           2	  negativeSmallDark	vp36
       3.457	          65	 P1_massUniv	           3	negativeLargeBright	vp36
       1.917	          65	 P1_massUniv	           4	negativeSmallBright	vp36
       3.347	          65	 P1_massUniv	           5	   neutralLargeDark	vp36
       1.620	          65	 P1_massUniv	           6	   neutralSmallDark	vp36
       4.800	          65	 P1_massUniv	           7	 neutralLargeBright	vp36
      -0.145	          65	 P1_massUniv	           8	 neutralSmallBright	vp36
       2.883	          65	 P1_massUniv	           1	  negativeLargeDark	vp37
       2.961	          65	 P1_massUniv	           2	  negativeSmallDark	vp37
       1.738	          65	 P1_massUniv	           3	negativeLargeBright	vp37
       0.478	          65	 P1_massUniv	           4	negativeSmallBright	vp37
       3.585	          65	 P1_massUniv	           5	   neutralLargeDark	vp37
       2.408	          65	 P1_massUniv	           6	   neutralSmallDark	vp37
       1.748	          65	 P1_massUniv	           7	 neutralLargeBright	vp37
       2.527	          65	 P1_massUniv	           8	 neutralSmallBright	vp37
       1.100	          65	 P1_massUniv	           1	  negativeLargeDark	vp38
       1.052	          65	 P1_massUniv	           2	  negativeSmallDark	vp38
       0.330	          65	 P1_massUniv	           3	negativeLargeBright	vp38
       1.240	          65	 P1_massUniv	           4	negativeSmallBright	vp38
       1.002	          65	 P1_massUniv	           5	   neutralLargeDark	vp38
       0.464	          65	 P1_massUniv	           6	   neutralSmallDark	vp38
       1.065	          65	 P1_massUniv	           7	 neutralLargeBright	vp38
       1.185	          65	 P1_massUniv	           8	 neutralSmallBright	vp38
       1.095	          65	 P1_massUniv	           1	  negativeLargeDark	vp39
       1.901	          65	 P1_massUniv	           2	  negativeSmallDark	vp39
       3.186	          65	 P1_massUniv	           3	negativeLargeBright	vp39
       2.216	          65	 P1_massUniv	           4	negativeSmallBright	vp39
       1.466	          65	 P1_massUniv	           5	   neutralLargeDark	vp39
       1.551	          65	 P1_massUniv	           6	   neutralSmallDark	vp39
       1.491	          65	 P1_massUniv	           7	 neutralLargeBright	vp39
       0.620	          65	 P1_massUniv	           8	 neutralSmallBright	vp39
       2.804	          65	 P1_massUniv	           1	  negativeLargeDark	vp40
       3.253	          65	 P1_massUniv	           2	  negativeSmallDark	vp40
       2.392	          65	 P1_massUniv	           3	negativeLargeBright	vp40
       0.943	          65	 P1_massUniv	           4	negativeSmallBright	vp40
       2.604	          65	 P1_massUniv	           5	   neutralLargeDark	vp40
       3.805	          65	 P1_massUniv	           6	   neutralSmallDark	vp40
       3.102	          65	 P1_massUniv	           7	 neutralLargeBright	vp40
       1.369	          65	 P1_massUniv	           8	 neutralSmallBright	vp40
       0.207	          65	 P1_massUniv	           1	  negativeLargeDark	vp41
       0.271	          65	 P1_massUniv	           2	  negativeSmallDark	vp41
      -0.124	          65	 P1_massUniv	           3	negativeLargeBright	vp41
